Time (s),Altitude (m),TAS (m/s),Fuel Remaining (kg)
316.6999999999963,9747.76837864988,261.7554318968561,20084.11570413139
316.7999999999963,9751.201137308068,261.8107693623763,20083.83147595733
316.89999999999634,9754.633396234502,261.8661419392644,20083.54727271994
316.99999999999636,9758.065184874557,261.9215496646662,20083.263091926023
317.0999999999964,9761.496472320527,261.97699257578245,20082.978936069816
317.1999999999964,9764.927257841533,262.0324707098691,20082.694805151867
317.29999999999643,9768.357540705416,262.08798410423714,20082.41069917272
317.39999999999645,9771.787332340806,262.1404458311533,20082.126618132927
317.4999999999965,9775.216650044895,262.19602789419724,20081.842559539018
317.5999999999965,9778.64546292644,262.25164532770515,20081.5585258855
317.6999999999965,9782.073770248187,262.3072981692071,20081.274517172922
317.79999999999654,9785.501571271578,262.36298645628904,20080.99053340183
317.89999999999657,9788.928865256756,262.41871022659274,20080.706574572774
317.9999999999966,9792.355681589826,262.47446951781586,20080.422638192016
318.0999999999966,9795.781989396506,262.5302643677124,20080.138726754336
318.19999999999663,9799.20778793301,262.5860948140923,20079.85484026028
318.29999999999666,9802.63307645424,262.6419608948219,20079.57097871039
318.3999999999967,9806.057866809666,262.6947560583874,20079.287142105222
318.4999999999967,9809.48217580352,262.7506915367413,20079.00332795077
318.5999999999967,9812.905972578383,262.8066627612683,20078.71953874208
318.69999999999675,9816.329256383955,262.862669770058,20078.435774479698
318.79999999999677,9819.752026468608,262.91871260125686,20078.152035164174
318.8999999999968,9823.17428207939,262.9747912930681,20077.868320796053
318.9999999999968,9826.596065400934,263.0277874640492,20077.584628881068
319.09999999999684,9830.01733277851,263.08393599440683,20077.30096191453
319.19999999999686,9833.438083455234,263.14012049819615,20077.017319896986
319.2999999999969,9836.858316672879,263.1963410138464,20076.733702828988
319.3999999999969,9840.278061732532,263.252597579844,20076.45010821605
319.49999999999693,9843.697300887932,263.3057619175844,20076.166538553698
319.59999999999695,9847.11602034167,263.36208869187027,20075.882993842482
319.699999999997,9850.534219330204,263.4184516301599,20075.599474082952
319.799999999997,9853.951927130007,263.47485077116784,20075.315976780406
319.899999999997,9857.369126186377,263.5281499031989,20075.03250443059
319.99999999999704,9860.785802519227,263.5846195494258,20074.749057034052
320.09999999999707,9864.201955359656,263.6411255127009,20074.46563459134
320.1999999999971,9867.617627350452,263.69452563756226,20074.18223460754
320.2999999999971,9871.032774347574,263.75110232885606,20073.89885957861
320.39999999999714,9874.447395578094,263.80771545203424,20073.615509505104
320.49999999999716,9877.86150379267,263.86121688906985,20073.332184387564
320.5999999999972,9881.275114738986,263.9179009640534,20073.048881730865
320.6999999999972,9884.688197632582,263.9746215862664,20072.76560403118
320.7999999999972,9888.10076535497,264.02822465623564,20072.48235128906
320.89999999999725,9891.512803512442,264.0850164550332,20072.199123505052
320.99999999999727,9894.92434130677,264.14184491691725,20071.915918183815
